"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 02 02:40:58 YEKT 2025","Wed Jul 02 02:40:58 YEKT 2025","279","","ru.praktikum.tests.CreateUserWithMissingFieldTest","","ru.praktikum.tests.CreateUserWithMissingFieldTest","createUserWithMissingField[0]","createUserWithMissingField[0]","Создание пользователя без одного из полей с переметризацией что для любого из отсутствующих полей возвращается ошибка"
"passed","Wed Jul 02 02:40:45 YEKT 2025","Wed Jul 02 02:40:46 YEKT 2025","1267","","CreateUserTests","","CreateUserTests","CreateNotUniqueUserTest","CreateNotUniqueUserTest","Тест создания не уникального пользователя, создали одного, потом такого же с теми же данными переменных, потом удалили"""
"passed","Wed Jul 02 02:40:59 YEKT 2025","Wed Jul 02 02:40:59 YEKT 2025","213","","ru.praktikum.tests.CreateUserWithMissingFieldTest","","ru.praktikum.tests.CreateUserWithMissingFieldTest","createUserWithMissingField[2]","createUserWithMissingField[2]","Создание пользователя без одного из полей с переметризацией что для любого из отсутствующих полей возвращается ошибка"
"passed","Wed Jul 02 02:40:59 YEKT 2025","Wed Jul 02 02:41:01 YEKT 2025","1532","","UpdateUserTests","","UpdateUserTests","updateUserWithAuthTest","updateUserWithAuthTest",""
"failed","Wed Jul 02 02:40:40 YEKT 2025","Wed Jul 02 02:40:42 YEKT 2025","1930","","CreateOrderTests","","CreateOrderTests","createOrderWithoutAuthTest","createOrderWithoutAuthTest","Тест создания заказа без авторизации"
"passed","Wed Jul 02 02:40:51 YEKT 2025","Wed Jul 02 02:40:55 YEKT 2025","4194","","GetListOrderTests","","GetListOrderTests","getOrdersListWithoutAuth","getOrdersListWithoutAuth","Тест получения заказов пользователя без авторизации"
"passed","Wed Jul 02 02:40:59 YEKT 2025","Wed Jul 02 02:40:59 YEKT 2025","540","","UpdateUserTests","","UpdateUserTests","updateUserWithoutAuthTest","updateUserWithoutAuthTest",""
"passed","Wed Jul 02 02:40:46 YEKT 2025","Wed Jul 02 02:40:51 YEKT 2025","4755","","GetListOrderTests","","GetListOrderTests","getOrdersListWithAuth","getOrdersListWithAuth","Тест получения заказов пользователя с авторизацией"
"passed","Wed Jul 02 02:40:58 YEKT 2025","Wed Jul 02 02:40:59 YEKT 2025","238","","ru.praktikum.tests.CreateUserWithMissingFieldTest","","ru.praktikum.tests.CreateUserWithMissingFieldTest","createUserWithMissingField[1]","createUserWithMissingField[1]","Создание пользователя без одного из полей с переметризацией что для любого из отсутствующих полей возвращается ошибка"
"passed","Wed Jul 02 02:40:44 YEKT 2025","Wed Jul 02 02:40:45 YEKT 2025","1031","","CreateUserTests","","CreateUserTests","CreateUniqueUser","CreateUniqueUser","Тест создания уникального пользователя"
"passed","Wed Jul 02 02:40:55 YEKT 2025","Wed Jul 02 02:40:57 YEKT 2025","1276","","LoginUserTests","","LoginUserTests","loginExistingUserTest","loginExistingUserTest","Тест успешного логина существующим пользователем"
"passed","Wed Jul 02 02:40:36 YEKT 2025","Wed Jul 02 02:40:40 YEKT 2025","4203","","CreateOrderTests","","CreateOrderTests","createOrderWithAuthTest","createOrderWithAuthTest","Тест создания заказа с авторизацией"
"passed","Wed Jul 02 02:40:57 YEKT 2025","Wed Jul 02 02:40:58 YEKT 2025","543","","LoginUserTests","","LoginUserTests","loginWithWrongEmailTest","loginWithWrongEmailTest","Тест логина с неверным email"
"passed","Wed Jul 02 02:40:57 YEKT 2025","Wed Jul 02 02:40:57 YEKT 2025","648","","LoginUserTests","","LoginUserTests","loginWithWrongPasswordTest","loginWithWrongPasswordTest","Тест логина с неверным паролем"
"passed","Wed Jul 02 02:40:25 YEKT 2025","Wed Jul 02 02:40:36 YEKT 2025","11318","","CreateOrderTests","","CreateOrderTests","createOrderWithInvalidIngredientsTest","createOrderWithInvalidIngredientsTest","Тест создания заказа с неверным хэшем ингредиентов"
"passed","Wed Jul 02 02:40:42 YEKT 2025","Wed Jul 02 02:40:44 YEKT 2025","1667","","CreateOrderTests","","CreateOrderTests","createOrderWithoutIngredients","createOrderWithoutIngredients","Тест создания заказа без ингредиентов"
